YEAR,AVG ELEVATION,AVG CONTENT,AVG INFLOW,AVG OUTFLOW,AVG HIGH TEMP,AVG LOW TEMP,AVG WATER TEMP
2022,1065.33,8833572,11095,13076,67.3,45.7,--
2021,1074.01,9532500,11976,12625,81.6,61.5,--
2020,1088.78,10758113,12253,12069,82.2,61.1,--
2019,1085.46,10469995,n/a,11789,80.1,59.7,--
2018,1081.57,10144058,n/a,12592,81.9,60.3,--
2017,1083.06,10267537,n/a,12075,80.6,57.7,--
2016,1077.22,9784790,n/a,12775,80.4,57.3,--
2015,1080.68,10071257,n/a,12976,79.7,57.5,--
2014,1090.76,10940605,10346,13049,81,57.6,--
2013,1110.9,12705639,12055,12848,79,55.4,--
2012,1121.91,13798396,12538,12929,81,57.1,--
2011,1106.12,12077029,20397,12716,79,54.2,--
2010,1091.56,10759249,11229,13042,79,55.4,--
2009,1099.72,11489247,12930,13003,80.4,55.4,59.3
2008,1109.64,12464762,13487,13130,80.9,56.3,68.5
2007,1118,13137092,12132,13186,83.1,58.6,68.2
2006,1131.66,14530987,12532,12790,80.4,56.3,69
2005,1139.87,15381733,12925,11431,79.5,57.4,--
2004,1131.76,14541211,12727,12872,79.1,57.5,--
2003,1145.93,16037336,12426,12958,80.8,58.3,--
2002,1163.17,18037362,11673,14423,n/a,n/a,--
2001,1185.78,20935774,12139,14080,n/a,n/a,--
2000,1204.22,23549259,12778,14726,n/a,n/a,--
1999,1210.41,24459931,17531,15240,n/a,n/a,--
1998,1213.71,24962488,18126,17647,n/a,n/a,--
1997,1202.93,23353750,22056,16146,n/a,n/a,--
1996,1191.98,21773677,15740,13721,n/a,n/a,--
1995,1182.4,20465295,15316,11806,n/a,n/a,--
1994,1182.18,20440385,11824,12921,n/a,n/a,--
1993,1188.59,21305262,13038,10277,n/a,n/a,--
1992,1176.39,19669765,12344,10782,n/a,n/a,--
1991,1175.43,19546578,12722,12369,n/a,n/a,--
1990,1183.69,20642485,11878,12713,n/a,n/a,--
1989,1193.87,22046641,11312,12659,n/a,n/a,--
1988,1204.56,23590757,10840,12984,n/a,n/a,--
1987,1208.84,24222482,15990,15661,n/a,n/a,--
1986,1206.58,23885504,25761,24238,n/a,n/a,--
1985,1209.74,24360003,23744,23796,n/a,n/a,--
1984,1209.46,24316385,28052,29494,n/a,n/a,--
1983,1214.91,25155329,24048,23450,n/a,n/a,--
1982,1199.84,22896279,12434,10302,n/a,n/a,--
1981,1197.2,22517871,10832,11442,n/a,n/a,--
1980,1202.62,23299456,15569,15274,n/a,n/a,--
1979,1197.46,22552610,11261,10664,n/a,n/a,--
1978,1186.14,20967211,12459,10327,n/a,n/a,--
1977,1182.66,20509140,10186,10873,n/a,n/a,--
1976,1181.29,20314716,12893,10919,n/a,n/a,--
1975,1177.57,19823841,12385,11556,n/a,n/a,--
1974,1174.02,19364614,12247,12059,n/a,n/a,--
1973,1180.3,20188559,12568,11467,n/a,n/a,--
1972,1158.53,17460967,12865,11157,n/a,n/a,--
1971,1152.02,16708800,12762,11251,n/a,n/a,--
1970,1151.74,16673915,11259,11076,n/a,n/a,--
1969,1143.64,15785225,12310,10905,n/a,n/a,--
1968,1135.34,14904418,12108,10812,n/a,n/a,--
1967,1130.6,14644063,10470,10987,n/a,n/a,--
1966,1130.93,15361633,10667,10746,n/a,n/a,--
1965,1111.21,13377173,16025,10802,n/a,n/a,--
1964,1110.51,13303880,4411,11238,n/a,n/a,--
1963,1166.48,19549792,1202,11803,n/a,n/a,--
1962,1182.11,21588389,n/a,11938,n/a,n/a,--
1961,1157.09,18316907,n/a,11846,n/a,n/a,--
1960,1170.89,20017459,n/a,12390,n/a,n/a,--
1959,1175.38,20588756,n/a,12830,n/a,n/a,--
1958,1185.09,21938008,n/a,16467,n/a,n/a,--
1957,1140.34,16757786,n/a,12968,n/a,n/a,--
1956,1098.94,12155967,n/a,10953,n/a,n/a,--
1955,1097.55,12006058,n/a,11964,n/a,n/a,--
1954,1126.12,14870995,n/a,14643,n/a,n/a,--
1953,1156.7,18279633,n/a,15689,n/a,n/a,--
1952,1170.55,20116167,n/a,21733,n/a,n/a,--
1951,1155.65,18163071,n/a,13810,n/a,n/a,--
1950,1163.5,19108805,n/a,16538,n/a,n/a,--
1949,1171.72,23089364,n/a,18509,n/a,n/a,--
1948,1173.18,24228978,n/a,18118,n/a,n/a,--
1947,1160.07,22594501,n/a,15407,n/a,n/a,--
1946,1155.61,21970162,n/a,14596,n/a,n/a,--
1945,1166.66,23377304,n/a,17255,n/a,n/a,--
1944,1177.41,24797429,n/a,19874,n/a,n/a,--
1943,1188.8,26319622,n/a,17569,n/a,n/a,--
1942,1194.81,25725321,n/a,21815,n/a,n/a,--
1941,1195.47,24150110,n/a,20564,n/a,n/a,--
1940,1172.03,20830217,n/a,10989,n/a,n/a,--
1939,1171.8,n/a,n/a,12173,n/a,n/a,--
1938,1141.38,n/a,n/a,9511,n/a,n/a,--
1937,1071.12,n/a,n/a,8325,n/a,n/a,--
1936,977.32,n/a,n/a,8171,n/a,n/a,--
1935,845.03,n/a,n/a,8741,n/a,n/a,--
1934,n/a,n/a,n/a,6207,n/a,n/a,--
